"","Date","Set","Trophy","Colors","W","L","Format","Start Rank","End Rank"
"70","8/6/2021 20:06","AFR",NA,"BR","6","3","PremierDraft","Diamond-3","Diamond-2"
"71","8/6/2021 19:51","AFR",NA,"WB","0","0","PremierDraft",NA,NA
"72","8/5/2021 7:08","AFR",NA,"UBr","1","3","PremierDraft","Diamond-3","Diamond-3"
"73","8/5/2021 5:58","AFR",NA,"RG","1","3","PremierDraft","Diamond-2","Diamond-2"
"74","8/5/2021 5:12","AFR",NA,"UR","3","3","PremierDraft","Diamond-3","Diamond-2"
"75","8/5/2021 4:12","AFR",NA,"WGb","1","3","PremierDraft","Diamond-2","Diamond-2"
"76","8/4/2021 0:06","AFR",NA,"WB","3","3","QuickDraft","Diamond-2","Diamond-2"
"77","8/4/2021 0:02","AFR",NA,"UB","0","0","QuickDraft",NA,NA
"78","8/3/2021 23:55","AFR",NA,"UBw","0","0","QuickDraft",NA,NA
"79","8/3/2021 23:13","AFR",NA,"WGbr","2","3","QuickDraft","Diamond-2","Diamond-2"
"80","8/3/2021 22:31","AFR",NA,"WR","2","3","QuickDraft","Diamond-2","Diamond-2"
"81","8/3/2021 21:38","AFR","x","BR","7","0","QuickDraft","Diamond-3","Diamond-2"
"82","8/3/2021 20:11","AFR",NA,"UB","4","3","QuickDraft","Diamond-4","Diamond-3"
"83","8/3/2021 19:21","AFR",NA,"WB","2","3","PremierDraft","Diamond-3","Diamond-3"
"84","8/3/2021 18:44","AFR",NA,"RGb","2","3","QuickDraft","Diamond-3","Diamond-3"
"85","8/3/2021 17:57","AFR",NA,"BR","3","3","QuickDraft","Diamond-3","Diamond-3"
"86","8/3/2021 16:55","AFR",NA,"BR","4","3","QuickDraft","Diamond-4","Diamond-3"
"87","8/3/2021 6:19","AFR",NA,"BR","4","3","QuickDraft","Diamond-4","Diamond-4"
"88","8/3/2021 5:16","AFR",NA,"UGb","2","3","PremierDraft","Diamond-4","Diamond-4"
"89","8/3/2021 3:59","AFR",NA,"WGr","3","3","PremierDraft","Diamond-4","Diamond-4"
"90","8/3/2021 3:25","AFR",NA,"WG","0","3","PremierDraft","Diamond-4","Diamond-4"
"91","8/3/2021 2:08","AFR",NA,"WBu","4","3","PremierDraft","Platinum-1","Diamond-4"
"92","8/3/2021 0:59","AFR",NA,"UR","4","3","PremierDraft","Platinum-1","Platinum-1"
"93","8/3/2021 0:15","AFR",NA,"WR","3","3","PremierDraft","Platinum-1","Platinum-1"
"94","8/2/2021 23:14","AFR",NA,"UGw","2","3","PremierDraft","Platinum-1","Platinum-1"
"95","8/2/2021 22:10","AFR",NA,"WGb","2","3","PremierDraft","Platinum-1","Platinum-1"
"96","8/2/2021 21:11","AFR",NA,"BR","4","3","PremierDraft","Platinum-1","Platinum-1"
"97","8/2/2021 20:17","AFR",NA,"BR","2","3","PremierDraft","Platinum-1","Platinum-1"
"98","8/2/2021 6:17","AFR",NA,"WG","6","3","PremierDraft","Platinum-2","Platinum-1"
"99","8/2/2021 5:22","AFR",NA,"UGw","0","3","PremierDraft","Platinum-1","Platinum-1"
"100","8/2/2021 4:11","AFR",NA,"BR","6","3","PremierDraft","Platinum-2","Platinum-1"
"101","8/2/2021 0:51","AFR",NA,"WG","3","3","QuickDraft","Platinum-2","Platinum-2"
"102","8/2/2021 0:15","AFR",NA,"WR","2","3","QuickDraft","Platinum-3","Platinum-2"
"103","8/1/2021 23:26","AFR","x","WR","7","0","QuickDraft","Platinum-4","Platinum-3"
"104","8/1/2021 22:56","AFR",NA,"RGw","0","3","QuickDraft","Platinum-3","Platinum-4"
"105","8/1/2021 22:07","AFR",NA,"UBr","2","3","QuickDraft","Platinum-3","Platinum-3"
"106","8/1/2021 21:06","AFR",NA,"UR","4","3","QuickDraft","Platinum-3","Platinum-3"
"107","8/1/2021 19:21","AFR","x","WG","7","2","QuickDraft","Platinum-4","Platinum-3"
"108","8/1/2021 18:35","AFR",NA,"WG","3","3","QuickDraft","Platinum-4","Platinum-4"
"109","8/1/2021 17:39","AFR",NA,"UGb","1","3","QuickDraft","Platinum-4","Platinum-4"
"110","8/1/2021 6:01","AFR",NA,"BR","4","3","QuickDraft","Platinum-4","Platinum-4"
"111","8/1/2021 5:11","AFR",NA,"BRg","3","3","QuickDraft","Gold-1","Platinum-4"
"112","8/1/2021 4:17","AFR",NA,"BG","3","3","QuickDraft","Gold-2","Gold-1"
"113","8/1/2021 3:46","AFR",NA,"WR","2","3","QuickDraft","Gold-2","Gold-2"
"114","8/1/2021 3:06","AFR",NA,"BGwr","1","3","QuickDraft","Gold-2","Gold-2"
"115","8/1/2021 2:21","AFR",NA,"WR","2","3","QuickDraft","Diamond-2","Diamond-2"
"116","8/1/2021 1:07","AFR",NA,"BG","6","3","PremierDraft","Diamond-3","Diamond-2"
"117","8/1/2021 0:07","AFR",NA,"WG","2","3","PremierDraft","Diamond-3","Diamond-3"
"118","7/31/2021 23:22","AFR",NA,"WUg","1","3","PremierDraft","Diamond-3","Diamond-3"
"119","7/31/2021 22:11","AFR",NA,"BR","1","3","PremierDraft","Diamond-3","Diamond-3"
"120","7/31/2021 20:56","AFR",NA,"RGw","2","3","PremierDraft","Diamond-3","Diamond-3"
"121","7/30/2021 23:37","AFR",NA,"WGb","4","3","PremierDraft","Diamond-3","Diamond-3"
"122","7/27/2021 2:02","AFR",NA,"WG","2","3","PremierDraft","Diamond-3","Diamond-3"
"123","7/24/2021 21:29","AFR",NA,"WR","4","3","PremierDraft","Diamond-4","Diamond-3"
"124","7/24/2021 4:56","AFR",NA,"BR","6","3","PremierDraft","Diamond-4","Diamond-4"
"125","7/23/2021 6:08","AFR","x","WG","7","2","PremierDraft","Platinum-1","Diamond-4"
"126","7/23/2021 4:34","AFR",NA,"BRwu","3","3","PremierDraft","Platinum-1","Platinum-1"
"127","7/23/2021 2:02","AFR",NA,"WRg","2","3","PremierDraft","Platinum-1","Platinum-1"
"128","7/22/2021 7:58","AFR",NA,"BRGw","5","3","PremierDraft","Platinum-2","Platinum-1"
"129","7/22/2021 6:24","AFR",NA,"WG","4","3","PremierDraft","Platinum-2","Platinum-2"
"130","7/22/2021 5:36","AFR",NA,"BR","1","3","PremierDraft","Platinum-2","Platinum-2"
"131","7/22/2021 4:30","AFR","x","BR","7","2","PremierDraft","Platinum-3","Platinum-2"
"132","7/22/2021 2:02","AFR",NA,"WUr","3","3","PremierDraft","Platinum-3","Platinum-3"
"133","7/20/2021 7:10","AFR",NA,"WGub","0","3","PremierDraft","Platinum-3","Platinum-3"
"134","7/20/2021 5:57","AFR",NA,"WR","1","3","PremierDraft","Platinum-2","Platinum-2"
"135","7/20/2021 3:14","AFR",NA,"URg","3","3","PremierDraft","Platinum-2","Platinum-2"
"136","7/19/2021 7:10","AFR","x","WR","7","2","PremierDraft","Platinum-3","Platinum-2"
"137","7/19/2021 6:32","AFR",NA,"RGu","1","3","PremierDraft","Platinum-3","Platinum-3"
"138","7/19/2021 5:48","AFR",NA,"URbg","1","3","PremierDraft","Platinum-3","Platinum-3"
"139","7/19/2021 4:47","AFR",NA,"WG","2","3","PremierDraft","Platinum-3","Platinum-2"
"140","7/19/2021 2:24","AFR",NA,"BRG","2","3","PremierDraft","Platinum-2","Platinum-2"
"141","7/19/2021 0:43","AFR",NA,"WR","6","3","PremierDraft","Platinum-3","Platinum-2"
"142","7/18/2021 22:10","AFR",NA,"WBr","6","3","PremierDraft","Platinum-4","Platinum-3"
"143","7/18/2021 21:03","AFR",NA,"RGw","4","3","PremierDraft","Platinum-4","Platinum-4"
"144","7/18/2021 20:19","AFR",NA,"WU","1","3","PremierDraft","Platinum-4","Platinum-4"
"145","7/18/2021 19:37","AFR",NA,"WR","1","3","PremierDraft","Platinum-4","Platinum-4"
"146","7/18/2021 18:46","AFR",NA,"BRw","1","3","PremierDraft","Platinum-4","Platinum-4"
"147","7/16/2021 7:59","AFR",NA,"UBwr","0","3","PremierDraft","Platinum-3","Platinum-4"
"148","7/16/2021 6:57","AFR",NA,"RGu","2","3","PremierDraft","Platinum-3","Platinum-3"
"149","7/16/2021 4:37","AFR","x","WR","7","1","PremierDraft","Platinum-4","Platinum-3"
"150","7/16/2021 3:17","AFR",NA,"BGu","3","3","PremierDraft","Platinum-4","Platinum-4"
"151","7/16/2021 2:30","AFR",NA,"UG","1","3","PremierDraft","Platinum-4","Platinum-4"
"152","7/14/2021 5:21","AFR",NA,"URb","4","3","PremierDraft",NA,NA
"153","7/14/2021 4:30","AFR",NA,"UG","1","3","PremierDraft",NA,NA
"154","7/11/2021 20:17","AFR",NA,"UBr","1","3","PremierDraft",NA,NA
"155","7/11/2021 19:35","AFR",NA,"WR","1","3","PremierDraft",NA,NA
"156","7/11/2021 17:00","AFR",NA,"BG","6","3","PremierDraft",NA,NA
"157","7/10/2021 5:50","AFR",NA,"WB","3","3","PremierDraft",NA,NA
"158","7/10/2021 5:02","AFR",NA,"WUg","2","3","PremierDraft",NA,NA
"159","7/9/2021 8:04","AFR",NA,"UR","1","3","PremierDraft",NA,NA
"160","7/9/2021 6:37","AFR",NA,"BR","3","3","PremierDraft",NA,NA
"161","7/9/2021 5:23","AFR",NA,"RG","5","3","PremierDraft",NA,NA
"162","7/9/2021 2:19","AFR",NA,"UB","2","3","Sealed",NA,NA
"163","7/9/2021 1:41","AFR",NA,"WR","3","3","Sealed",NA,NA
"164","6/15/2021 4:07","STX","x","WUBRg","7","2","PremierDraft","Diamond-1","Mythic-1"
"165","6/15/2021 3:09","STX",NA,"UBRGw","1","3","PremierDraft","Diamond-1","Diamond-1"
"166","6/15/2021 1:35","STX",NA,"WUBrg","5","3","PremierDraft","Diamond-2","Diamond-1"
"167","6/15/2021 0:29","STX","x","URw","7","2","PremierDraft","Diamond-3","Diamond-2"
"168","6/14/2021 23:13","STX","x","WB","7","2","PremierDraft","Diamond-4","Diamond-3"
"169","6/14/2021 21:38","STX",NA,"URG","3","3","PremierDraft","Diamond-4","Diamond-4"
"170","6/10/2021 11:51","STX",NA,"WRb","2","3","PremierDraft","Diamond-4","Diamond-4"
"171","6/9/2021 12:50","STX",NA,"WBr","3","3","PremierDraft","Diamond-4","Diamond-4"
"172","6/9/2021 11:40","STX",NA,"UGbr","2","3","PremierDraft","Diamond-4","Diamond-4"
"173","6/7/2021 10:30","STX",NA,"WBg","1","3","PremierDraft","Diamond-4","Diamond-4"
"174","6/3/2021 13:12","STX",NA,NA,"0","0","PremierDraft",NA,NA
"175","6/3/2021 12:07","STX",NA,"UBG","2","3","PremierDraft","Diamond-4","Diamond-4"
