Date,Set,Trophy,Colors,W/L,Format,Start Rank,End Rank,Shareable Links
8/2/2021 21:11,AFR,,BR,4 - 3,PremierDraft,Platinum-1,Platinum-1,"Draft, Pool, Deck 1, Details"
8/2/2021 20:17,AFR,,BR,2 - 3,PremierDraft,Platinum-1,Platinum-1,"Draft, Pool, Deck 1, Details"
8/2/2021 6:17,AFR,,WG,6 - 3,PremierDraft,Platinum-2,Platinum-1,"Draft, Pool, Deck 1, Details"
8/2/2021 5:22,AFR,,UGw,0 - 3,PremierDraft,Platinum-1,Platinum-1,"Draft, Pool, Deck 1, Deck 2, Details"
8/2/2021 4:11,AFR,,BR,6 - 3,PremierDraft,Platinum-2,Platinum-1,"Draft, Pool, Deck 1, Details"
8/2/2021 0:51,AFR,,WG,3 - 3,QuickDraft,Platinum-2,Platinum-2,"Draft, Pool, Deck 1, Details"
8/2/2021 0:15,AFR,,WR,2 - 3,QuickDraft,Platinum-3,Platinum-2,"Draft, Pool, Deck 1, Details"
8/1/2021 23:26,AFR,x,WR,7 - 0,QuickDraft,Platinum-4,Platinum-3,"Draft, Pool, Deck 1, Details"
8/1/2021 22:56,AFR,,RGw,0 - 3,QuickDraft,Platinum-3,Platinum-4,"Draft, Pool, Deck 1, Details"
8/1/2021 22:07,AFR,,UBr,2 - 3,QuickDraft,Platinum-3,Platinum-3,"Draft, Pool, Deck 1, Details"
8/1/2021 21:06,AFR,,UR,4 - 3,QuickDraft,Platinum-3,Platinum-3,"Draft, Pool, Deck 1, Details"
8/1/2021 19:21,AFR,x,WG,7 - 2,QuickDraft,Platinum-4,Platinum-3,"Draft, Pool, Deck 1, Details"
8/1/2021 18:35,AFR,,WG,3 - 3,QuickDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
8/1/2021 17:39,AFR,,UGb,1 - 3,QuickDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
8/1/2021 6:01,AFR,,BR,4 - 3,QuickDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
8/1/2021 5:11,AFR,,BRg,3 - 3,QuickDraft,Gold-1,Platinum-4,"Draft, Pool, Deck 1, Details"
8/1/2021 4:17,AFR,,BG,3 - 3,QuickDraft,Gold-2,Gold-1,"Draft, Pool, Deck 1, Details"
8/1/2021 3:46,AFR,,WR,2 - 3,QuickDraft,Gold-2,Gold-2,"Draft, Pool, Deck 1, Details"
8/1/2021 3:06,AFR,,BGwr,1 - 3,QuickDraft,Gold-2,Gold-2,"Draft, Pool, Deck 1, Details"
8/1/2021 2:21,AFR,,WR,2 - 3,QuickDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Deck 2, Details"
8/1/2021 1:07,AFR,,BG,6 - 3,PremierDraft,Diamond-3,Diamond-2,"Draft, Pool, Deck 1, Details"
8/1/2021 0:07,AFR,,WG,2 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
7/31/2021 23:22,AFR,,WUg,1 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
7/31/2021 22:11,AFR,,BR,1 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
7/31/2021 20:56,AFR,,RGw,2 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
7/30/2021 23:37,AFR,,WGb,4 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
7/27/2021 2:02,AFR,,WG,2 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
7/24/2021 21:29,AFR,,WR,4 - 3,PremierDraft,Diamond-4,Diamond-3,"Draft, Pool, Deck 1, Details"
7/24/2021 4:56,AFR,,BR,6 - 3,PremierDraft,Diamond-4,Diamond-4,"Draft, Pool, Deck 1, Details"
7/23/2021 6:08,AFR,x,WG,7 - 2,PremierDraft,Platinum-1,Diamond-4,"Draft, Pool, Deck 1, Details"
7/23/2021 4:34,AFR,,BRwu,3 - 3,PremierDraft,Platinum-1,Platinum-1,"Draft, Pool, Deck 1, Deck 2, Details"
7/23/2021 2:02,AFR,,WRg,2 - 3,PremierDraft,Platinum-1,Platinum-1,"Draft, Pool, Deck 1, Details"
7/22/2021 7:58,AFR,,BRGw,5 - 3,PremierDraft,Platinum-2,Platinum-1,"Draft, Pool, Deck 1, Details"
7/22/2021 6:24,AFR,,WG,4 - 3,PremierDraft,Platinum-2,Platinum-2,"Draft, Pool, Deck 1, Details"
7/22/2021 5:36,AFR,,BR,1 - 3,PremierDraft,Platinum-2,Platinum-2,"Draft, Pool, Deck 1, Deck 2, Details"
7/22/2021 4:30,AFR,x,BR,7 - 2,PremierDraft,Platinum-3,Platinum-2,"Draft, Pool, Deck 1, Details"
7/22/2021 2:02,AFR,,WUr,3 - 3,PremierDraft,Platinum-3,Platinum-3,"Draft, Pool, Deck 1, Details"
7/20/2021 7:10,AFR,,WGub,0 - 3,PremierDraft,Platinum-3,Platinum-3,"Draft, Pool, Deck 1, Details"
7/20/2021 5:57,AFR,,WR,1 - 3,PremierDraft,Platinum-2,Platinum-2,"Draft, Pool, Deck 1, Details"
7/20/2021 3:14,AFR,,URg,3 - 3,PremierDraft,Platinum-2,Platinum-2,"Draft, Pool, Deck 1, Details"
7/19/2021 7:10,AFR,x,WR,7 - 2,PremierDraft,Platinum-3,Platinum-2,"Draft, Pool, Deck 1, Deck 2, Details"
7/19/2021 6:32,AFR,,RGu,1 - 3,PremierDraft,Platinum-3,Platinum-3,"Draft, Pool, Deck 1, Deck 2, Deck 3, Details"
7/19/2021 5:48,AFR,,URbg,1 - 3,PremierDraft,Platinum-3,Platinum-3,"Draft, Pool, Deck 1, Details"
7/19/2021 4:47,AFR,,WG,2 - 3,PremierDraft,Platinum-3,Platinum-2,"Draft, Pool, Deck 1, Details"
7/19/2021 2:24,AFR,,BRG,2 - 3,PremierDraft,Platinum-2,Platinum-2,"Draft, Pool, Deck 1, Details"
7/19/2021 0:43,AFR,,WR,6 - 3,PremierDraft,Platinum-3,Platinum-2,"Draft, Pool, Deck 1, Details"
7/18/2021 22:10,AFR,,WBr,6 - 3,PremierDraft,Platinum-4,Platinum-3,"Draft, Pool, Deck 1, Details"
7/18/2021 21:03,AFR,,RGw,4 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
7/18/2021 20:19,AFR,,WU,1 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
7/18/2021 19:37,AFR,,WR,1 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
7/18/2021 18:46,AFR,,BRw,1 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
7/16/2021 7:59,AFR,,UBwr,0 - 3,PremierDraft,Platinum-3,Platinum-4,"Draft, Pool, Deck 1, Deck 2, Details"
7/16/2021 6:57,AFR,,RGu,2 - 3,PremierDraft,Platinum-3,Platinum-3,"Draft, Pool, Deck 1, Details"
7/16/2021 4:37,AFR,x,WR,7 - 1,PremierDraft,Platinum-4,Platinum-3,"Draft, Pool, Deck 1, Details"
7/16/2021 3:17,AFR,,BGu,3 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
7/16/2021 2:30,AFR,,UG,1 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
7/14/2021 5:21,AFR,,URb,4 - 3,PremierDraft,,,"Draft, Pool, Deck 1, Details"
7/14/2021 4:30,AFR,,UG,1 - 3,PremierDraft,,,"Draft, Pool, Deck 1, Details"
7/11/2021 20:17,AFR,,UBr,1 - 3,PremierDraft,,,"Draft, Pool, Deck 1, Details"
7/11/2021 19:35,AFR,,WR,1 - 3,PremierDraft,,,"Draft, Pool, Deck 1, Details"
7/11/2021 17:00,AFR,,BG,6 - 3,PremierDraft,,,"Draft, Pool, Deck 1, Details"
7/10/2021 5:50,AFR,,WB,3 - 3,PremierDraft,,,"Draft, Pool, Deck 1, Details"
7/10/2021 5:02,AFR,,WUg,2 - 3,PremierDraft,,,"Draft, Pool, Deck 1, Details"
7/9/2021 8:04,AFR,,UR,1 - 3,PremierDraft,,,"Draft, Pool, Deck 1, Details"
7/9/2021 6:37,AFR,,BR,3 - 3,PremierDraft,,,"Draft, Pool, Deck 1, Details"
7/9/2021 5:23,AFR,,RG,5 - 3,PremierDraft,,,"Draft, Pool, Deck 1, Details"
7/9/2021 2:19,AFR,,UB,2 - 3,Sealed,,,"Pool, Deck 1, Deck 2, Details"
7/9/2021 1:41,AFR,,WR,3 - 3,Sealed,,,"Pool, Deck 1, Details"
6/15/2021 4:07,STX,x,WUBRg,7 - 2,PremierDraft,Diamond-1,Mythic-1,"Draft, Pool, Deck 1, Details"
6/15/2021 3:09,STX,,UBRGw,1 - 3,PremierDraft,Diamond-1,Diamond-1,"Draft, Pool, Deck 1, Details"
6/15/2021 1:35,STX,,WUBrg,5 - 3,PremierDraft,Diamond-2,Diamond-1,"Draft, Pool, Deck 1, Details"
6/15/2021 0:29,STX,x,URw,7 - 2,PremierDraft,Diamond-3,Diamond-2,"Draft, Pool, Deck 1, Details"
6/14/2021 23:13,STX,x,WB,7 - 2,PremierDraft,Diamond-4,Diamond-3,"Draft, Pool, Deck 1, Details"
6/14/2021 21:38,STX,,URG,3 - 3,PremierDraft,Diamond-4,Diamond-4,"Draft, Pool, Deck 1, Details"
6/10/2021 11:51,STX,,WRb,2 - 3,PremierDraft,Diamond-4,Diamond-4,"Draft, Pool, Deck 1, Details"
6/9/2021 12:50,STX,,WBr,3 - 3,PremierDraft,Diamond-4,Diamond-4,"Draft, Pool, Deck 1, Details"
6/9/2021 11:40,STX,,UGbr,2 - 3,PremierDraft,Diamond-4,Diamond-4,"Draft, Pool, Deck 1, Details"
6/7/2021 10:30,STX,,WBg,1 - 3,PremierDraft,Diamond-4,Diamond-4,"Draft, Pool, Deck 1, Deck 2, Details"
6/3/2021 13:12,STX,,,0 - 0,PremierDraft,,,"Draft, Details"
6/3/2021 12:07,STX,,UBG,2 - 3,PremierDraft,Diamond-4,Diamond-4,"Draft, Pool, Deck 1, Details"
6/3/2021 10:48,STX,,UBGr,2 - 3,PremierDraft,Diamond-4,Diamond-4,"Draft, Pool, Deck 1, Details"
6/3/2021 10:01,STX,,BGw,1 - 3,PremierDraft,Diamond-4,Diamond-4,"Draft, Pool, Deck 1, Deck 2, Details"
6/3/2021 8:44,STX,,UBGr,1 - 3,PremierDraft,Diamond-4,Diamond-4,"Draft, Pool, Deck 1, Details"
6/3/2021 8:08,STX,,UBRg,0 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
6/3/2021 7:25,STX,,WUR,1 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Deck 2, Details"
6/3/2021 5:04,STX,,WUR,6 - 3,PremierDraft,Diamond-4,Diamond-3,"Draft, Pool, Deck 1, Details"
6/3/2021 4:11,STX,,URGw,2 - 3,PremierDraft,Diamond-4,Diamond-4,"Draft, Pool, Deck 1, Deck 2, Details"
6/3/2021 1:56,STX,,UR,6 - 3,PremierDraft,Platinum-1,Diamond-4,"Draft, Pool, Deck 1, Details"
6/3/2021 0:37,STX,x,BGw,7 - 1,PremierDraft,Platinum-2,Platinum-1,"Draft, Pool, Deck 1, Details"
6/2/2021 23:33,STX,,UGr,3 - 3,PremierDraft,Platinum-3,Platinum-2,"Draft, Pool, Deck 1, Deck 2, Details"
6/2/2021 12:25,STX,x,WR,7 - 1,PremierDraft,Platinum-4,Platinum-3,"Draft, Pool, Deck 1, Details"
6/2/2021 11:07,STX,,WR,3 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
6/2/2021 10:13,STX,,URwg,1 - 3,PremierDraft,Platinum-3,Platinum-4,"Draft, Pool, Deck 1, Details"
6/2/2021 8:47,STX,,UBG,4 - 3,PremierDraft,Platinum-4,Platinum-3,"Draft, Pool, Deck 1, Details"
6/2/2021 7:09,STX,,UGr,6 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
6/2/2021 6:30,STX,,WBrg,2 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
6/2/2021 5:39,STX,,WRb,1 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
6/2/2021 4:14,STX,,WURg,2 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Deck 2, Details"
6/2/2021 2:12,STX,,WB,3 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
6/2/2021 0:37,STX,,WBG,4 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
6/1/2021 23:35,STX,,WB,5 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
6/1/2021 22:40,STX,,WBr,2 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
5/31/2021 10:00,STX,x,UG,7 - 2,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
